visitor_id,nb_sessions,avg_days_between_sessions,nb_unique_documents,engagement_score,return_rate,visitor_type,browser_clean,os_clean,source_clean,medium_clean,avg_time_on_content,nb_unique_documents_viewed,device_type,is_disengaged
"1,69969E+18",1,0.0,1,0.333,1.0,Nouveau,Autre,iOS,Referral,Direct,5,1,mobile,1
"1,69972E+18",1,0.0,1,0.333,1.0,Nouveau,Chrome,Windows,Referral,Direct,5,1,ordinateur,1
"1,69973E+18",1,0.0,1,0.333,1.0,Nouveau,Chrome,macOS,Referral,Direct,5,1,ordinateur,1
"1,69974E+18",2,0.6666666666666666,3,0.342,0.6000000000000001,Mixte,Chrome,Windows,Referral,Direct,10,3,ordinateur,1
"1,6997E+18",1,0.0,1,0.333,1.0,Nouveau,Firefox,Windows,Referral,Direct,5,1,ordinateur,1
"1,69981E+18",2,2.5,1,0.31,0.2857142857142857,Mixte,Opera,macOS,Referral,Direct,10,1,ordinateur,1
"1,69986E+18",1,0.0,1,0.333,1.0,Nouveau,Chrome,Windows,Referral,Direct,5,1,ordinateur,1
"1,69987E+18",51,2.4166666666666665,31,0.642,0.2926829268292683,Mixte,Chrome,Windows,Referral,Direct,255,31,ordinateur,0
"1,69987E+18",51,2.4166666666666665,31,0.642,0.2926829268292683,Mixte,Chrome,Windows,Referral,Direct,255,31,ordinateur,0
"1,69987E+18",51,2.4166666666666665,31,0.642,0.2926829268292683,Mixte,Chrome,Windows,Social,Referral,255,31,ordinateur,0
"1,69987E+18",51,2.4166666666666665,31,0.642,0.2926829268292683,Mixte,Chrome,Windows,Social,Referral,255,31,ordinateur,0
"1,69988E+18",6,3.0,4,0.336,0.25,Mixte,Firefox,macOS,Referral,Direct,30,4,ordinateur,1
"1,69989E+18",1,0.0,3,0.347,1.0,Mixte,Chrome,Windows,Referral,Direct,5,3,ordinateur,1
"1,69991E+18",1,0.0,2,0.34,1.0,Nouveau,Chrome,Windows,Referral,Direct,5,2,ordinateur,1
"1,69995E+18",4,11.4,3,0.238,0.0806451612903225,Mixte,Edge,Windows,Referral,Direct,20,3,ordinateur,1
"1,69996E+18",2,0.0,4,0.356,1.0,Mixte,Chrome,Linux,Referral,Direct,10,4,ordinateur,1
"1,69997E+18",1,0.0,1,0.333,1.0,Nouveau,Chrome,Windows,Referral,Direct,5,1,ordinateur,1
"1,69998E+18",1,0.0,2,0.34,1.0,Nouveau,Chrome,Windows,Referral,Direct,5,2,ordinateur,1
"1,69999E+18",13,2.6842105263157894,4,0.358,0.2714285714285714,Mixte,Chrome,macOS,Referral,Direct,65,4,ordinateur,1
"1,69999E+18",13,2.6842105263157894,4,0.358,0.2714285714285714,Mixte,Chrome,macOS,Referral,Direct,65,4,ordinateur,1
"1,69999E+18",13,2.6842105263157894,4,0.358,0.2714285714285714,Mixte,Chrome,macOS,Referral,Direct,65,4,ordinateur,1
"1,69999E+18",13,2.6842105263157894,4,0.358,0.2714285714285714,Mixte,Chrome,macOS,Referral,Referral,65,4,ordinateur,1
